audit_family,dataset,model,protected_attribute,fairness_metric,effective_support,unstable_share,mean_vi,max_vi
german__hist_gradient_boosting__age_lt_25__equalized_odds_violation,german,hist_gradient_boosting,age_lt_25,equalized_odds_violation,11.105263157894736,0.7419354838709677,0.29881154499151097,0.5
german__hist_gradient_boosting__sex__dpd_violation,german,hist_gradient_boosting,sex,dpd_violation,45.71,0.45161290322580644,0.20149032258064517,0.4998
german__hist_gradient_boosting__sex__dpr_violation,german,hist_gradient_boosting,sex,dpr_violation,45.71,0.43902439024390244,0.1864731707317073,0.4992
german__hist_gradient_boosting__sex__eod_violation,german,hist_gradient_boosting,sex,eod_violation,29.81,0.3548387096774194,0.1631290322580645,0.4968
german__hist_gradient_boosting__sex__equalized_odds_violation,german,hist_gradient_boosting,sex,equalized_odds_violation,16.03061224489796,0.8387096774193549,0.30741223414974944,0.4991670137442732
german__logistic_regression__age_lt_25__dpd_violation,german,logistic_regression,age_lt_25,dpd_violation,23.91780821917808,0.9032258064516129,0.33075260746130425,0.499906173766185
german__logistic_regression__age_lt_25__dpr_violation,german,logistic_regression,age_lt_25,dpr_violation,23.91780821917808,0.7560975609756098,0.3144506130743424,0.499906173766185
german__logistic_regression__age_lt_25__eod_violation,german,logistic_regression,age_lt_25,eod_violation,14.485714285714286,0.9032258064516129,0.39541803818301513,0.5
german__logistic_regression__age_lt_25__equalized_odds_violation,german,logistic_regression,age_lt_25,equalized_odds_violation,11.105263157894736,0.7419354838709677,0.3088195871682602,0.5
german__logistic_regression__sex__dpd_violation,german,logistic_regression,sex,dpd_violation,45.71,0.5806451612903226,0.2511806451612903,0.4982
german__logistic_regression__sex__dpr_violation,german,logistic_regression,sex,dpr_violation,45.71,0.5121951219512195,0.22804878048780486,0.4998
german__logistic_regression__sex__eod_violation,german,logistic_regression,sex,eod_violation,29.81,0.41935483870967744,0.18578709677419353,0.495
german__logistic_regression__sex__equalized_odds_violation,german,logistic_regression,sex,equalized_odds_violation,16.03061224489796,0.7741935483870968,0.3272090929854496,0.4991670137442732
german__random_forest__age_lt_25__dpd_violation,german,random_forest,age_lt_25,dpd_violation,23.91780821917808,0.7741935483870968,0.2969509500662837,0.4954025145430663
german__random_forest__age_lt_25__dpr_violation,german,random_forest,age_lt_25,dpr_violation,23.91780821917808,0.6341463414634146,0.26472728604186024,0.4976543441546256
german__random_forest__age_lt_25__eod_violation,german,random_forest,age_lt_25,eod_violation,14.485714285714286,0.7096774193548387,0.31433838051349566,0.5
german__random_forest__age_lt_25__equalized_odds_violation,german,random_forest,age_lt_25,equalized_odds_violation,11.105263157894736,0.7741935483870968,0.30645161290322576,0.5
german__random_forest__sex__dpd_violation,german,random_forest,sex,dpd_violation,45.71,0.3870967741935484,0.17738709677419354,0.4982
german__random_forest__sex__dpr_violation,german,random_forest,sex,dpr_violation,45.71,0.36585365853658536,0.15302439024390244,0.4992
german__random_forest__sex__eod_violation,german,random_forest,sex,eod_violation,29.81,0.3225806451612903,0.12973548387096773,0.495
german__random_forest__sex__equalized_odds_violation,german,random_forest,sex,equalized_odds_violation,16.03061224489796,0.7096774193548387,0.3018567532345393,0.4991670137442732
