audit_tolerance,operating_threshold,operational_step_change,audit_boundary_step_change,operating_threshold_step_size,audit_tolerance_step_size,dataset,model,protected_attribute,fairness_metric
0.09,0.3,,0.2,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.35,0.11000000000000001,0.12000000000000001,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.4,0.08000000000000002,0.07999999999999999,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.45,0.04999999999999999,0.060000000000000005,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.5,0.009999999999999995,0.07,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.55,0.08,0.11,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.6,0.08000000000000002,0.19,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.65,0.08999999999999997,0.18999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.09,0.7,0.15000000000000002,0.21000000000000002,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.3,,0.27999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.35,0.13,0.26,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.4,0.13,0.21,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.45,0.07999999999999996,0.18000000000000002,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.5,0.06999999999999995,0.24,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.55,0.020000000000000018,0.18,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.6,0.12,0.21999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.65,0.12,0.25,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.7,0.16000000000000003,0.26,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.3,,0.16000000000000003,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.35,0.08000000000000007,0.20999999999999996,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.4,0.10999999999999999,0.22999999999999998,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.45,0.020000000000000018,0.32999999999999996,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.5,0.0,0.26,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.55,0.040000000000000036,0.28,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.6,0.10999999999999999,0.27,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.65,0.09999999999999998,0.25,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.7,0.07000000000000006,0.16000000000000003,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
