dataset,model,protected_attribute,fairness_metric,audit_tolerance,p,n_retrainings,mean_violation,sd_violation,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,sd_accuracy,sd_auroc,sd_f1,mean_accuracy,mean_auroc,audit_family,effective_support_n,log_effective_support_n,boundary_distance,standardized_boundary_distance,vi_scaled,unstable_region
german,random_forest,age_lt_25,dpd_violation,0.27,0.9452054794520548,73,0.13252998453467776,0.08760405014126905,23.91780821917808,14.246575342465754,9.67123287671233,0.10358416213173202,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpd_violation,23.91780821917808,3.215582737369731,0.13747001546532225,1.569219861908668,0.20716832426346404,0
german,random_forest,age_lt_25,dpd_violation,0.28,0.958904109589041,73,0.13252998453467776,0.08760405014126905,23.91780821917808,14.246575342465754,9.67123287671233,0.07881403640457882,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpd_violation,23.91780821917808,3.215582737369731,0.14747001546532226,1.683369835384485,0.15762807280915764,0
german,random_forest,age_lt_25,dpd_violation,0.29,0.958904109589041,73,0.13252998453467776,0.08760405014126905,23.91780821917808,14.246575342465754,9.67123287671233,0.07881403640457882,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpd_violation,23.91780821917808,3.215582737369731,0.15747001546532222,1.7975198088603015,0.15762807280915764,0
german,random_forest,age_lt_25,dpd_violation,0.3,0.958904109589041,73,0.13252998453467776,0.08760405014126905,23.91780821917808,14.246575342465754,9.67123287671233,0.07881403640457882,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpd_violation,23.91780821917808,3.215582737369731,0.16747001546532223,1.9116697823361184,0.15762807280915764,0
german,random_forest,age_lt_25,dpr_violation,0.0,0.0,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.0,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.15249868109602197,1.521327249873376,0.0,0
german,random_forest,age_lt_25,dpr_violation,0.010000000000000009,0.0410958904109589,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.07881403640457872,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.14249868109602196,1.4215672231676066,0.15762807280915744,0
german,random_forest,age_lt_25,dpr_violation,0.020000000000000018,0.0821917808219178,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.15087258397447925,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.13249868109602195,1.3218071964618372,0.3017451679489585,0
german,random_forest,age_lt_25,dpr_violation,0.030000000000000027,0.1095890410958904,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.1951585663351473,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.12249868109602194,1.2220471697560678,0.3903171326702946,1
german,random_forest,age_lt_25,dpr_violation,0.040000000000000036,0.136986301369863,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.23644210921373615,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.11249868109602193,1.1222871430502983,0.4728842184274723,1
german,random_forest,age_lt_25,dpr_violation,0.050000000000000044,0.1643835616438356,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.2747232126102458,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.10249868109602192,1.0225271163445286,0.5494464252204916,1
