audit_tolerance,operating_threshold,operational_sensitivity,governance_boundary_sensitivity,dataset,model,protected_attribute,fairness_metric
0.1,0.4,2.0999999999999988,21.999999999999993,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.45,0.10000000000000012,25.499999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.5,0.8999999999999994,24.999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.55,1.4000000000000004,22.999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.6,2.4000000000000004,24.499999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.65,2.8000000000000007,24.999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.1,0.7,3.200000000000005,20.999999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.3,1.6000000000000019,13.000000000000007,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.35,1.9,19.00000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.4,0.8999999999999994,24.50000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.45,0.20000000000000023,26.000000000000014,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.5,0.40000000000000024,22.000000000000014,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.55,1.5000000000000007,22.50000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.6,2.1,19.50000000000001,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.65,1.7000000000000008,17.000000000000007,acs_income,hist_gradient_boosting,race,dpd_violation
0.11,0.7,1.400000000000003,9.000000000000002,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.3,0.20000000000000023,8.999999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.35,0.30000000000000016,12.499999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.4,0.6999999999999993,17.499999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.45,0.5999999999999995,13.999999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.5,0.199999999999999,15.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.55,0.8999999999999999,13.999999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.6,1.3000000000000003,10.499999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.65,0.6999999999999996,5.999999999999998,acs_income,hist_gradient_boosting,race,dpd_violation
0.12,0.7,0.0,2.499999999999996,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.3,0.20000000000000023,4.999999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.35,0.20000000000000012,5.999999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.4,0.5999999999999992,6.499999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.45,0.19999999999999912,7.999999999999989,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.5,0.40000000000000024,8.49999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.55,0.49999999999999944,7.499999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.6,0.49999999999999944,5.999999999999995,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.65,0.10000000000000012,2.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.13,0.7,0.0,2.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.3,0.20000000000000023,2.0000000000000027,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.35,0.0,2.0000000000000027,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.4,0.30000000000000016,2.5000000000000036,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.45,0.20000000000000023,5.000000000000002,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.5,0.10000000000000006,3.499999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.55,0.40000000000000047,3.499999999999999,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.6,0.3000000000000003,1.500000000000002,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.65,0.0,1.0000000000000013,acs_income,hist_gradient_boosting,race,dpd_violation
0.14,0.7,0.0,1.0000000000000013,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.3,0.20000000000000023,1.0000000000000013,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.35,0.10000000000000006,0.5000000000000007,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.4,0.0,1.0000000000000013,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.45,0.0,2.0000000000000027,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.5,0.10000000000000006,2.0000000000000027,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.55,0.10000000000000012,1.500000000000002,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.15,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.35,0.0,0.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.4,0.0,0.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.45,0.0,0.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.5,0.0,0.5,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.16,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.17,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.25,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.26,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.27,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.28,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.5,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.55,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.6,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.65,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.29,0.7,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.3,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.35,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.4,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
0.3,0.45,0.0,0.0,acs_income,hist_gradient_boosting,race,dpd_violation
