dataset,model,seed,protected_attribute,operating_threshold,n_test,accuracy,f1,auroc,n_group0,n_group1,n_min_group,n_positive_group0,n_positive_group1,n_min_positive_group,n_negative_group0,n_negative_group1,n_min_negative_group,selection_rate_group0,selection_rate_group1,tpr_group0,tpr_group1,fpr_group0,fpr_group1,dpd_signed,dpd_violation,dpr_symmetric,dpr_violation,eod_signed,eod_violation,equalized_odds_violation,dpd_defined,dpr_defined,eod_defined,equalized_odds_defined,min_group_ok,min_positive_group_ok,min_negative_group_ok,dpd_analysis_valid,dpr_analysis_valid,eod_analysis_valid,equalized_odds_analysis_valid
acs_income,hist_gradient_boosting,16,sex,0.7,3000,0.7726666666666666,0.6650294695481336,0.8888170652876535,1583,1417,1417,751,481,481,832,936,832,0.33164876816171823,0.19689484827099507,0.6005326231691078,0.4698544698544699,0.0889423076923077,0.056623931623931624,-0.13475391989072316,0.13475391989072316,0.593684847262829,0.406315152737171,-0.13067815331463795,0.13067815331463795,0.13067815331463795,True,True,True,True,True,True,True,True,True,True,True
acs_income,hist_gradient_boosting,16,race,0.7,3000,0.7726666666666666,0.6650294695481336,0.8888170652876535,1864,1136,1136,822,410,410,1042,726,726,0.3063304721030043,0.2051056338028169,0.5900243309002433,0.4682926829268293,0.08253358925143954,0.05647382920110193,-0.10122483830018739,0.10122483830018739,0.6695567450235564,0.33044325497644356,-0.12173164797341401,0.12173164797341401,0.12173164797341401,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.3,3000,0.7716666666666666,0.7600700525394045,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.5967948717948718,0.48055555555555557,0.8867667121418826,0.8717434869739479,0.33978234582829503,0.2731137088204038,-0.11623931623931621,0.11623931623931621,0.8052273540995346,0.1947726459004654,-0.01502322516793475,0.01502322516793475,0.06666863700789122,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.3,3000,0.7716666666666666,0.7600700525394045,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.5782016348773842,0.48240343347639486,0.8940886699507389,0.8547619047619047,0.32746823069403713,0.27248322147651005,-0.09579820140098932,0.09579820140098932,0.834316965531748,0.16568303446825206,-0.039326765188834156,0.039326765188834156,0.05498500921752708,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.35,3000,0.7826666666666666,0.7635968092820885,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.5679487179487179,0.4444444444444444,0.8608458390177354,0.845691382765531,0.3083434099153567,0.2316684378320935,-0.12350427350427351,0.12350427350427351,0.782543265613243,0.21745673438675694,-0.015154456252204351,0.015154456252204351,0.07667497208326318,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.35,3000,0.7826666666666666,0.7635968092820885,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.5416893732970027,0.45665236051502145,0.8645320197044335,0.8357142857142857,0.2854349951124145,0.24295302013422818,-0.08503701278198128,0.08503701278198128,0.8430151725805476,0.1569848274194524,-0.028817733990147754,0.028817733990147754,0.042481974978186315,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.4,3000,0.79,0.7631578947368421,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.5461538461538461,0.4,0.8458390177353342,0.7915831663326653,0.28053204353083433,0.19234856535600425,-0.14615384615384608,0.14615384615384608,0.7323943661971832,0.26760563380281677,-0.054255851402668864,0.054255851402668864,0.08818347817483008,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.4,3000,0.79,0.7631578947368421,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.5084468664850136,0.4248927038626609,0.8386699507389163,0.7952380952380952,0.24633431085043989,0.21610738255033557,-0.08355416262235266,0.08355416262235266,0.8356678580792957,0.16433214192070433,-0.04343185550082107,0.04343185550082107,0.04343185550082107,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,sex,0.45,3000,0.8,0.7668997668997669,0.8815788990421344,1560,1440,1440,733,499,499,827,941,827,0.5166666666666667,0.37222222222222223,0.82537517053206,0.7655310621242485,0.2430471584038694,0.1636556854410202,-0.1444444444444445,0.1444444444444445,0.7204301075268816,0.27956989247311836,-0.059844108407811514,0.059844108407811514,0.07939147296284921,True,True,True,True,True,True,True,True,True,True,True
acs_income,logistic_regression,17,race,0.45,3000,0.8,0.7668997668997669,0.8815788990421344,1835,1165,1165,812,420,420,1023,745,745,0.48065395095367847,0.3948497854077253,0.8165024630541872,0.7714285714285715,0.21407624633431085,0.1825503355704698,-0.08580416554595316,0.08580416554595316,0.8214845308652788,0.17851546913472116,-0.0450738916256157,0.0450738916256157,0.0450738916256157,True,True,True,True,True,True,True,True,True,True,True
