dataset,model,protected_attribute,fairness_metric,audit_tolerance,pass_probability,n_retrainings,mean_violation,sd_violation,median_violation,q05,q95,mean_accuracy,sd_accuracy,mean_auroc,sd_auroc,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,audit_agreement
german,random_forest,sex,dpd_violation,0.18,0.98,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.03920000000000003,0.9608
german,random_forest,sex,dpd_violation,0.19,0.98,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.03920000000000003,0.9608
german,random_forest,sex,dpd_violation,0.2,0.99,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.01980000000000002,0.9802
german,random_forest,sex,dpd_violation,0.21,0.99,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.01980000000000002,0.9802
german,random_forest,sex,dpd_violation,0.22,0.99,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.01980000000000002,0.9802
german,random_forest,sex,dpd_violation,0.23,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.24,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.25,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.26,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.27,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.28,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.29,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpd_violation,0.3,1.0,100,0.0824658660268564,0.04913776272165252,0.0732026143790849,0.011274714735392384,0.1620097117794487,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
german,random_forest,sex,dpr_violation,0.0,0.0,100,0.09381042368374654,0.05467395851946259,0.0866763565891472,0.013293553097382671,0.18143896976483764,0.7548,0.024243063964623297,0.789310052910053,0.03156103788977713,45.71,29.81,15.88,0.0,1.0
